n,time
218,0.000048
219,0.000049
220,0.000049
221,0.000051
222,0.000051
223,0.000050
224,0.000069
225,0.000053
226,0.000052
227,0.000055
228,0.000053
229,0.000061
230,0.000058
231,0.000057
232,0.000057
233,0.000059
234,0.000058
235,0.000057
236,0.000056
237,0.000057
238,0.000059
239,0.000058
240,0.000058
241,0.000060
242,0.000058
243,0.000060
244,0.000059
245,0.000060
246,0.000059
247,0.000058
248,0.000058
249,0.000059
250,0.000060
251,0.000061
252,0.000060
253,0.000061
254,0.000061
255,0.000061
256,0.000062
257,0.000061
258,0.000062
259,0.000062
260,0.000063
261,0.000063
262,0.000063
263,0.000063
264,0.000063
265,0.000063
266,0.000063
267,0.000062
268,0.000063
269,0.000064
270,0.000064
271,0.000065
272,0.000065
273,0.000066
274,0.000066
275,0.000068
276,0.000066
277,0.000067
278,0.000069
279,0.000069
280,0.000071
281,0.000069
282,0.000068
283,0.000084
284,0.000072
285,0.000132
286,0.000072
287,0.000073
288,0.000075
289,0.000076
290,0.000075
291,0.000075
292,0.000073
293,0.000074
294,0.000074
295,0.000072
296,0.000073
297,0.000075
298,0.000076
299,0.000077
300,0.000075
301,0.000075
302,0.000077
303,0.000078
304,0.000078
305,0.000078
306,0.000079
307,0.000080
308,0.000080
309,0.000181
310,0.000080
311,0.000080
312,0.000081
313,0.000081
314,0.000081
315,0.000081
316,0.000080
317,0.000080
318,0.000083
319,0.000083
320,0.000084
321,0.000081
322,0.000083
323,0.000083
324,0.000083
325,0.000151
326,0.000086
327,0.000086
328,0.000086
329,0.000084
330,0.000085
331,0.000085
332,0.000088
333,0.000088
334,0.000090
335,0.000089
336,0.000090
337,0.000090
338,0.000088
339,0.000089
340,0.000089
341,0.000091
342,0.000093
343,0.000089
344,0.000090
345,0.000092
346,0.000091
347,0.000092
348,0.000092
349,0.000091
350,0.000092
351,0.000092
352,0.000093
353,0.000093
354,0.000094
355,0.000093
356,0.000094
357,0.000095
358,0.000096
359,0.000095
360,0.000096
361,0.000096
362,0.000097
363,0.000098
364,0.000097
365,0.000097
366,0.000097
367,0.000099
368,0.000099
369,0.000099
370,0.000100
371,0.000099
372,0.000100
373,0.000101
374,0.000102
375,0.000101
376,0.000101
377,0.000101
378,0.000103
379,0.000102
380,0.000103
381,0.000103
382,0.000104
383,0.000104
384,0.000104
385,0.000122
386,0.000108
387,0.000108
388,0.000180
389,0.000107
390,0.000106
391,0.000110
392,0.000109
393,0.000110
394,0.000109
395,0.000109
396,0.000109
397,0.000113
398,0.000113
399,0.000111
400,0.000110
401,0.000110
402,0.000114
403,0.000142
404,0.000115
405,0.000116
406,0.000116
407,0.000118
408,0.000117
409,0.000118
410,0.000117
411,0.000118
412,0.000118
413,0.000118
414,0.000160
415,0.000120
416,0.000170
417,0.000120
418,0.000122
419,0.000122
420,0.000123
421,0.000121
422,0.000122
423,0.000123
424,0.000122
425,0.000123
426,0.000123
427,0.000123
428,0.000127
429,0.000128
430,0.000132
431,0.000129
432,0.000134
433,0.000129
434,0.000130
435,0.000239
436,0.000132
437,0.000132
438,0.000134
439,0.000133
440,0.000132
441,0.000134
442,0.000136
443,0.000153
444,0.000136
445,0.000135
446,0.000137
447,0.000135
448,0.000135
449,0.000137
450,0.000139
451,0.000204
452,0.000138
453,0.000143
454,0.000153
455,0.000139
456,0.000197
457,0.000179
458,0.000148
459,0.000145
460,0.000144
461,0.000145
462,0.000180
463,0.000143
464,0.000159
465,0.000143
466,0.000145
467,0.000145
468,0.000146
469,0.000164
470,0.000164
471,0.000146
472,0.000146
473,0.000170
474,0.000151
475,0.000148
476,0.000150
477,0.000189
478,0.000153
479,0.000153
480,0.000150
481,0.000156
482,0.000154
483,0.000156
484,0.000153
485,0.000154
486,0.000154
487,0.000152
488,0.000157
489,0.000154
490,0.000158
491,0.000154
492,0.000244
493,0.000222
494,0.000320
495,0.000157
496,0.000157
497,0.000158
498,0.000181
499,0.000158
500,0.000160
501,0.000163
502,0.000183
503,0.000159
504,0.000156
505,0.000156
506,0.000219
507,0.000162
508,0.000162
509,0.000162
510,0.000192
511,0.000177
512,0.000165
513,0.000165
514,0.000183
515,0.000167
516,0.000166
517,0.000167
518,0.000168
519,0.000168
520,0.000169
521,0.000168
522,0.000168
523,0.000171
524,0.000165
525,0.000165
526,0.000170
527,0.000171
528,0.000173
529,0.000172
530,0.000174
531,0.000209
532,0.000311
533,0.000177
534,0.000178
535,0.000179
536,0.000179
537,0.000172
538,0.000173
539,0.000171
540,0.000174
541,0.000175
542,0.000179
543,0.000178
544,0.000179
545,0.000175
546,0.000176
547,0.000182
548,0.000182
549,0.000181
550,0.000182
551,0.000182
552,0.000179
553,0.000238
554,0.000180
555,0.000179
556,0.000181
557,0.000186
558,0.000195
559,0.000187
560,0.000186
561,0.000191
562,0.000188
563,0.000188
564,0.000184
565,0.000185
566,0.000186
567,0.000191
568,0.000191
569,0.000191
570,0.000192
571,0.000193
572,0.000194
573,0.000195
574,0.000189
575,0.000191
576,0.000190
577,0.000192
578,0.000261
579,0.000196
580,0.000201
581,0.000198
582,0.000202
583,0.000200
584,0.000199
585,0.000202
586,0.000243
587,0.000206
588,0.000203
589,0.000202
590,0.000201
591,0.000206
592,0.000206
593,0.000199
594,0.000200
595,0.000200
596,0.000200
597,0.000201
598,0.000207
599,0.000206
600,0.000207
601,0.000203
602,0.000206
603,0.000253
604,0.000209
605,0.000209
606,0.000212
607,0.000210
608,0.000213
609,0.000213
610,0.000213
611,0.000212
612,0.000213
613,0.000209
614,0.000209
615,0.000286
616,0.000209
617,0.000210
618,0.000212
619,0.000210
620,0.000217
621,0.000218
622,0.000219
623,0.000213
624,0.000213
625,0.000214
626,0.000216
627,0.000215
628,0.000216
629,0.000217
630,0.000217
631,0.000218
632,0.000217
633,0.000218
634,0.000218
635,0.000254
636,0.000369
637,0.000248
638,0.000220
639,0.000245
640,0.000229
641,0.000229
642,0.000223
643,0.000223
644,0.000224
645,0.000225
646,0.000226
647,0.000219
648,0.000221
649,0.000221
650,0.000223
651,0.000221
652,0.000229
653,0.000229
654,0.000229
655,0.000223
656,0.000225
657,0.000230
658,0.000232
659,0.000227
660,0.000227
661,0.000227
662,0.000228
663,0.000226
664,0.000297
665,0.000235
666,0.000235
667,0.000236
668,0.000238
669,0.000270
670,0.000232
671,0.000232
672,0.000233
673,0.000370
674,0.000244
675,0.000328
676,0.000247
677,0.000247
678,0.000249
679,0.000248
680,0.000249
681,0.000283
682,0.000252
683,0.000251
684,0.000256
685,0.000265
686,0.000256
687,0.000258
688,0.000259
689,0.000259
690,0.000242
691,0.000241
692,0.000243
693,0.000242
694,0.000244
695,0.000250
696,0.000252
697,0.000253
698,0.000326
699,0.000254
700,0.000254
701,0.000255
702,0.000253
703,0.000255
704,0.000255
705,0.000256
706,0.000256
707,0.000257
708,0.000258
709,0.000258
710,0.000258
711,0.000260
712,0.000260
713,0.000261
714,0.000254
715,0.000253
716,0.000255
717,0.000255
718,0.000256
719,0.000262
720,0.000265
721,0.000264
722,0.000259
723,0.000259
724,0.000258
725,0.000260
726,0.000261
727,0.000261
728,0.000262
729,0.000269
730,0.000271
731,0.000270
732,0.000263
733,0.000263
734,0.000265
735,0.000264
736,0.000286
737,0.000273
738,0.000273
739,0.000274
740,0.000275
741,0.000276
742,0.000276
743,0.000277
744,0.000277
745,0.000278
746,0.000278
747,0.000281
748,0.000279
749,0.000280
750,0.000281
751,0.000281
752,0.000282
753,0.000283
754,0.000284
755,0.000282
756,0.000479
757,0.000287
758,0.000288
759,0.000286
760,0.000318
761,0.000294
762,0.000287
763,0.000287
764,0.000287
765,0.000288
766,0.000288
767,0.000291
768,0.000290
769,0.000292
770,0.000291
771,0.000294
772,0.000293
773,0.000294
774,0.000301
775,0.000303
776,0.000307
777,0.000494
778,0.000296
779,0.000296
780,0.000299
781,0.000301
782,0.000320
783,0.000307
784,0.000341
785,0.000310
786,0.000320
787,0.000312
788,0.000314
789,0.000311
790,0.000328
791,0.000313
792,0.000313
793,0.000315
794,0.000313
795,0.000319
796,0.000317
797,0.000316
798,0.000325
799,0.000316
800,0.000318
801,0.000325
802,0.000322
803,0.000332
804,0.000322
805,0.000321
806,0.000322
807,0.000321
808,0.000313
809,0.000314
810,0.000314
811,0.000313
812,0.000331
813,0.000370
814,0.000624
815,0.000332
816,0.000326
817,0.000333
818,0.000326
819,0.000319
820,0.000320
821,0.000319
822,0.000321
823,0.000495
824,0.000332
825,0.000333
826,0.000323
827,0.000324
828,0.000326
829,0.000326
830,0.000325
831,0.000325
832,0.000370
833,0.000328
834,0.000331
835,0.000328
836,0.000464
837,0.000332
838,0.000382
839,0.000330
840,0.000332
841,0.000332
842,0.000332
843,0.000333
844,0.000343
845,0.000346
846,0.000343
847,0.000346
848,0.000336
849,0.000338
850,0.000336
851,0.000338
852,0.000338
853,0.000352
854,0.000349
855,0.000340
856,0.000444
857,0.000342
858,0.000342
859,0.000342
860,0.000343
861,0.000450
862,0.000345
863,0.000346
864,0.000346
865,0.000346
866,0.000347
867,0.000346
868,0.000347
869,0.000349
870,0.000348
871,0.000350
872,0.000468
873,0.000355
874,0.000351
875,0.000353
876,0.000353
877,0.000354
878,0.000354
879,0.000356
880,0.000354
881,0.000357
882,0.000356
883,0.000466
884,0.000357
885,0.000366
886,0.000358
887,0.000360
888,0.000361
889,0.000361
890,0.000361
891,0.000362
892,0.000499
893,0.000362
894,0.000578
895,0.000375
896,0.000374
897,0.000366
898,0.000367
899,0.000368
900,0.000367
901,0.000555
902,0.000378
903,0.000380
904,0.000373
905,0.000370
906,0.000371
907,0.000372
908,0.000636
909,0.000375
910,0.000387
911,0.000387
912,0.000389
913,0.000387
914,0.000392
915,0.000431
916,0.000411
917,0.000389
918,0.000394
919,0.000398
920,0.000415
921,0.000407
922,0.000392
923,0.000391
924,0.000395
925,0.000399
926,0.000424
927,0.000551
928,0.000395
929,0.000413
930,0.000397
931,0.000398
932,0.000399
933,0.000400
934,0.000401
935,0.000405
936,0.000446
937,0.000403
938,0.000405
939,0.000405
940,0.000404
941,0.000405
942,0.000407
943,0.000405
944,0.000408
945,0.000433
946,0.000408
947,0.000415
948,0.000409
949,0.000408
950,0.000398
951,0.000399
952,0.000697
953,0.000401
954,0.000413
955,0.000413
956,0.000414
957,0.000415
958,0.000404
959,0.000521
960,0.000405
961,0.000587
962,0.000405
963,0.000406
964,0.000408
965,0.000408
966,0.000409
967,0.000409
968,0.000523
969,0.000410
970,0.000410
971,0.000411
972,0.000411
973,0.000509
974,0.000422
975,0.000429
976,0.000427
977,0.000436
978,0.000902
979,0.000427
980,0.000433
981,0.000432
982,0.000429
983,0.000433
984,0.000418
985,0.000537
986,0.000435
987,0.000434
988,0.000422
989,0.000424
990,0.000617
991,0.000424
992,0.000437
993,0.000438
994,0.000438
995,0.000440
996,0.000446
997,0.000602
998,0.000544
999,0.000430
1000,0.000430
1001,0.000431
1002,0.000581
1003,0.000447
1004,0.000444
1005,0.000469
1006,0.000436
1007,0.000448
1008,0.000450
1009,0.000463
1010,0.000450
1011,0.000449
1012,0.000452
1013,0.000488
1014,0.000460
1015,0.000451
1016,0.000453
1017,0.000452
1018,0.000455
1019,0.000518
1020,0.000458
1021,0.000459
1022,0.000444
1023,0.000446
1024,0.000448
1025,0.000446
1026,0.000608
1027,0.000447
1028,0.000448
1029,0.000449
1030,0.000451
1031,0.000572
1032,0.000453
1033,0.000761
1034,0.000454
1035,0.000452
1036,0.000454
1037,0.000454
1038,0.000618
1039,0.000478
1040,0.000480
1041,0.000471
1042,0.000474
1043,0.000636
1044,0.000460
1045,0.000472
1046,0.000473
1047,0.000478
1048,0.000513
1049,0.000478
1050,0.000478
1051,0.000477
1052,0.000478
1053,0.000468
1054,0.000477
1055,0.000483
1056,0.000484
1057,0.000485
1058,0.000483
1059,0.000482
1060,0.000509
1061,0.000492
1062,0.000485
1063,0.000486
1064,0.000506
1065,0.000522
1066,0.000489
1067,0.000488
1068,0.000490
1069,0.000491
1070,0.000616
1071,0.000496
1072,0.000492
1073,0.000493
1074,0.000493
1075,0.000509
1076,0.000494
1077,0.000508
1078,0.000484
1079,0.000547
1080,0.000511
1081,0.000500
1082,0.000500
1083,0.000499
1084,0.000501
1085,0.000554
1086,0.000491
1087,0.000491
1088,0.000490
1089,0.000491
1090,0.000491
1091,0.000494
1092,0.000524
1093,0.000508
1094,0.000520
1095,0.000664
1096,0.000497
1097,0.000496
1098,0.000500
1099,0.000497
1100,0.000500
1101,0.000499
1102,0.000587
1103,0.000502
1104,0.000535
1105,0.000546
1106,0.000503
1107,0.000519
1108,0.000521
1109,0.000505
1110,0.000659
1111,0.000521
1112,0.000521
1113,0.000508
1114,0.000509
1115,0.000614
1116,0.000510
1117,0.000524
1118,0.000525
1119,0.000515
1120,0.000517
1121,0.000527
1122,0.000528
1123,0.000599
1124,0.000515
1125,0.000556
1126,0.000537
1127,0.000532
1128,0.000534
1129,0.000520
1130,0.000752
1131,0.000536
1132,0.000536
1133,0.000523
1134,0.000525
1135,0.000541
1136,0.000594
1137,0.000540
1138,0.000544
1139,0.000544
1140,0.000529
1141,0.000974
1142,0.000840
1143,0.000669
1144,0.000577
1145,0.000547
1146,0.000560
1147,0.000548
1148,0.000550
1149,0.000822
1150,0.000641
1151,0.000549
1152,0.000572
1153,0.000609
1154,0.000558
1155,0.000560
1156,0.000555
1157,0.000554
1158,0.000606
1159,0.000543
1160,0.000564
1161,0.000563
1162,0.000567
1163,0.000589
1164,0.000566
1165,0.000561
1166,0.000566
1167,0.000569
1168,0.000563
1169,0.000595
1170,0.000573
1171,0.000576
1172,0.000583
1173,0.000628
1174,0.000644
1175,0.000584
1176,0.000574
1177,0.000656
1178,0.000719
1179,0.000675
1180,0.000579
1181,0.000641
1182,0.000574
1183,0.000573
1184,0.000619
1185,0.000577
1186,0.000608
1187,0.000989
1188,0.000584
1189,0.000644
1190,0.000717
1191,0.000675
1192,0.000614
1193,0.000582
1194,0.000569
1195,0.000572
1196,0.000595
1197,0.000590
1198,0.000576
1199,0.000570
1200,0.000587
1201,0.000606
1202,0.000615
1203,0.000593
1204,0.000614
1205,0.000751
1206,0.000636
1207,0.000602
1208,0.000618
1209,0.000603
1210,0.000611
1211,0.000603
1212,0.000600
1213,0.000669
1214,0.000635
1215,0.000600
1216,0.000678
1217,0.000624
1218,0.000605
1219,0.000624
1220,0.000587
1221,0.000616
1222,0.000762
1223,0.000717
1224,0.000696
1225,0.000612
1226,0.000641
1227,0.000626
1228,0.000661
1229,0.000786
1230,0.000625
1231,0.000613
1232,0.000624
1233,0.000616
1234,0.000739
1235,0.000612
1236,0.000619
1237,0.000804
1238,0.000619
1239,0.000617
1240,0.000643
1241,0.000622
1242,0.000620
1243,0.000623
1244,0.000605
1245,0.000626
1246,0.000629
1247,0.000624
1248,0.000624
1249,0.000654
1250,0.000640
1251,0.000630
1252,0.000717
1253,0.000737
1254,0.000630
1255,0.000705
1256,0.000637
1257,0.000638
1258,0.000674
1259,0.000635
1260,0.000636
1261,0.000691
1262,0.000638
1263,0.000638
1264,0.000727
1265,0.000654
1266,0.000649
1267,0.000710
1268,0.000721
1269,0.000655
1270,0.000799
1271,0.000840
1272,0.000668
1273,0.000748
1274,0.000676
1275,0.000659
1276,0.000660
1277,0.000669
1278,0.000653
1279,0.000655
1280,0.000689
1281,0.000656
1282,0.000653
1283,0.000726
1284,0.000666
1285,0.000666
1286,0.000707
1287,0.000669
1288,0.000659
1289,0.000964
1290,0.000659
1291,0.000660
1292,0.000664
1293,0.000643
1294,0.000644
1295,0.000645
1296,0.000645
1297,0.000650
1298,0.000647
1299,0.000650
1300,0.000651
1301,0.000634
1302,0.000635
1303,0.000634
1304,0.000637
1305,0.000635
1306,0.000639
1307,0.000643
1308,0.000675
1309,0.000639
1310,0.000644
1311,0.000665
1312,0.000802
1313,0.000659
1314,0.000662
1315,0.000698
1316,0.000661
1317,0.000662
1318,0.000970
1319,0.000705
1320,0.000684
1321,0.000698
1322,0.000686
1323,0.000685
1324,0.001002
1325,0.000691
1326,0.000694
1327,0.000803
1328,0.000708
1329,0.000690
1330,0.000710
1331,0.000704
1332,0.000707
1333,0.000872
1334,0.000727
1335,0.000698
1336,0.000728
1337,0.000719
1338,0.000709
1339,0.000709
1340,0.000730
1341,0.000704
1342,0.000708
1343,0.000732
1344,0.000703
1345,0.000704
1346,0.000733
1347,0.000706
1348,0.000710
1349,0.000747
1350,0.000716
1351,0.000710
1352,0.000748
1353,0.000732
1354,0.000711
1355,0.000809
1356,0.000758
1357,0.000715
1358,0.000733
1359,0.000731
1360,0.000719
1361,0.000731
1362,0.000730
1363,0.000737
1364,0.000747
1365,0.000733
1366,0.000724
1367,0.000748
1368,0.000725
1369,0.000724
1370,0.000731
1371,0.000727
1372,0.000726
1373,0.000754
1374,0.000732
1375,0.000743
1376,0.000736
1377,0.000765
1378,0.000731
1379,0.000741
1380,0.000744
1381,0.000745
1382,0.000738
1383,0.000761
1384,0.000743
1385,0.000737
1386,0.000749
1387,0.000748
1388,0.000743
1389,0.001036
1390,0.000743
1391,0.000808
1392,0.000904
1393,0.000747
1394,0.000761
1395,0.000761
1396,0.000768
1397,0.000804
1398,0.000911
1399,0.000772
1400,0.000750
1401,0.000758
1402,0.000773
1403,0.000755
1404,0.000819
1405,0.000754
1406,0.000757
1407,0.000793
1408,0.000757
1409,0.000759
1410,0.000766
1411,0.000760
1412,0.000761
1413,0.000761
1414,0.000775
1415,0.000765
1416,0.000746
1417,0.000744
1418,0.000746
1419,0.000766
1420,0.000768
1421,0.000748
1422,0.000748
1423,0.000771
1424,0.000774
1425,0.000853
1426,0.000774
1427,0.000772
1428,0.000801
1429,0.000767
1430,0.000789
1431,0.000827
1432,0.000777
1433,0.000782
1434,0.000760
1435,0.000823
1436,0.000781
1437,0.000782
1438,0.000784
1439,0.000766
1440,0.000766
1441,0.000764
1442,0.000765
1443,0.000765
1444,0.000766
1445,0.000766
1446,0.000769
1447,0.000777
1448,0.000769
1449,0.000772
1450,0.000772
1451,0.000774
1452,0.000775
1453,0.000774
1454,0.000775
1455,0.000788
1456,0.000780
1457,0.000778
1458,0.000779
1459,0.001012
1460,0.000781
1461,0.000802
1462,0.000810
1463,0.000787
1464,0.000783
1465,0.001040
1466,0.000786
1467,0.000819
1468,0.000863
1469,0.000857
1470,0.000823
1471,0.000833
1472,0.000948
1473,0.000844
1474,0.000847
1475,0.000817
1476,0.000914
1477,0.000819
1478,0.000907
1479,0.000832
1480,0.000819
1481,0.001060
1482,0.000829
1483,0.000832
1484,0.000995
1485,0.000845
1486,0.000831
1487,0.001009
1488,0.000850
1489,0.000829
1490,0.000859
1491,0.000815
1492,0.000839
1493,0.000843
1494,0.000886
1495,0.001052
1496,0.000853
1497,0.000847
1498,0.000850
1499,0.000875
1500,0.000836
1501,0.000848
1502,0.000902
1503,0.000854
1504,0.000843
1505,0.000843
1506,0.000897
1507,0.000870
1508,0.000863
1509,0.000908
1510,0.000863
1511,0.000853
1512,0.000931
1513,0.001143
1514,0.001154
1515,0.000885
1516,0.001030
1517,0.000978
1518,0.001072
1519,0.001047
1520,0.000955
1521,0.001274
1522,0.001038
1523,0.000869
1524,0.000883
1525,0.000882
1526,0.000883
1527,0.000879
1528,0.000929
1529,0.001072
1530,0.000970
1531,0.001087
1532,0.000984
1533,0.000940
1534,0.000912
1535,0.000880
1536,0.000919
1537,0.000889
1538,0.000920
1539,0.000888
1540,0.000891
1541,0.000945
1542,0.000913
1543,0.000890
1544,0.001012
1545,0.000903
1546,0.000898
1547,0.000987
1548,0.000936
1549,0.000901
1550,0.000905
1551,0.001020
1552,0.000894
1553,0.000905
1554,0.000888
1555,0.001137
1556,0.000916
1557,0.000916
1558,0.000952
1559,0.000995
1560,0.000900
1561,0.000893
1562,0.001045
1563,0.000899
1564,0.000895
1565,0.000894
1566,0.000943
1567,0.000991
1568,0.000903
1569,0.000876
1570,0.001133
1571,0.000878
1572,0.000877
1573,0.001049
1574,0.000878
1575,0.000881
1576,0.000926
1577,0.000940
1578,0.000887
1579,0.000884
1580,0.001213
1581,0.000887
1582,0.000890
1583,0.000920
1584,0.000928
1585,0.000929
1586,0.000915
1587,0.000931
1588,0.000940
1589,0.000917
1590,0.000933
1591,0.000991
1592,0.000920
1593,0.001030
1594,0.000932
1595,0.000972
1596,0.000981
1597,0.000945
1598,0.000927
1599,0.001068
1600,0.000941
1601,0.000931
1602,0.000975
1603,0.000935
1604,0.000939
1605,0.000946
1606,0.001028
1607,0.001218
1608,0.001005
1609,0.000938
1610,0.001054
1611,0.000946
1612,0.000939
1613,0.000949
1614,0.001007
1615,0.000941
1616,0.000942
1617,0.000945
1618,0.000964
1619,0.000963
1620,0.000950
1621,0.001026
1622,0.000925
1623,0.000925
1624,0.000930
1625,0.000991
1626,0.000952
1627,0.000927
1628,0.000929
1629,0.000931
1630,0.000959
1631,0.000959
1632,0.001150
1633,0.001071
1634,0.000959
1635,0.001190
1636,0.000939
1637,0.000963
1638,0.000969
1639,0.000938
1640,0.000942
1641,0.000939
1642,0.001013
1643,0.000941
1644,0.000941
1645,0.000990
1646,0.001043
1647,0.000946
1648,0.000968
1649,0.001011
1650,0.000946
1651,0.000955
1652,0.001337
1653,0.000952
1654,0.000956
1655,0.001347
1656,0.000958
1657,0.000957
1658,0.001077
1659,0.001007
1660,0.000961
1661,0.001073
1662,0.000960
1663,0.000967
1664,0.000965
1665,0.001141
1666,0.001288
1667,0.000964
1668,0.000964
1669,0.001387
1670,0.000966
1671,0.000994
1672,0.001000
1673,0.001259
1674,0.001004
1675,0.001092
1676,0.001004
1677,0.001082
1678,0.001092
1679,0.001008
1680,0.001089
1681,0.001011
1682,0.000977
1683,0.001253
1684,0.001009
1685,0.001075
1686,0.001043
1687,0.001009
1688,0.001104
1689,0.001017
1690,0.001245
1691,0.000989
1692,0.001018
1693,0.001034
1694,0.001090
1695,0.001020
1696,0.001034
1697,0.000994
1698,0.001068
1699,0.001022
1700,0.001037
1701,0.001035
1702,0.001159
1703,0.001001
1704,0.001039
1705,0.001002
1706,0.001055
1707,0.001080
1708,0.001009
1709,0.001051
1710,0.001047
1711,0.001032
1712,0.001006
1713,0.001011
1714,0.001009
1715,0.001013
1716,0.000985
1717,0.000988
1718,0.000985
1719,0.000989
1720,0.000987
1721,0.000991
1722,0.000988
1723,0.000993
1724,0.000990
1725,0.000997
1726,0.000992
1727,0.000998
1728,0.000994
1729,0.000998
1730,0.000997
1731,0.001086
1732,0.000999
1733,0.001009
1734,0.001000
1735,0.001005
1736,0.001002
1737,0.001006
1738,0.001004
1739,0.001010
1740,0.001005
1741,0.001009
1742,0.001008
1743,0.001011
1744,0.001012
1745,0.001012
1746,0.001013
1747,0.001019
1748,0.001014
1749,0.001019
1750,0.001016
1751,0.001020
1752,0.001018
1753,0.001018
1754,0.001078
1755,0.001052
1756,0.001020
1757,0.001024
1758,0.001024
1759,0.001027
1760,0.001025
1761,0.001211
1762,0.001026
1763,0.001059
1764,0.001057
1765,0.001028
1766,0.001030
1767,0.001035
1768,0.001032
1769,0.001037
1770,0.001034
1771,0.001039
1772,0.001034
1773,0.001041
1774,0.001038
1775,0.001042
1776,0.001039
1777,0.001045
1778,0.001043
1779,0.001046
1780,0.001043
1781,0.001049
1782,0.001046
1783,0.001051
1784,0.001046
1785,0.001052
1786,0.001053
1787,0.001051
1788,0.001055
1789,0.001052
1790,0.001379
1791,0.001145
1792,0.001083
1793,0.001085
1794,0.001089
1795,0.001087
1796,0.001088
1797,0.001061
1798,0.001067
1799,0.001063
1800,0.001067
1801,0.001114
1802,0.001068
1803,0.001066
1804,0.001069
1805,0.001069
1806,0.001072
1807,0.001068
1808,0.001689
1809,0.001498
1810,0.001186
1811,0.001289
1812,0.001186
1813,0.001141
1814,0.001186
1815,0.001162
1816,0.001150
1817,0.001178
1818,0.001173
1819,0.001186
1820,0.001174
1821,0.001172
1822,0.001142
1823,0.001159
1824,0.001163
1825,0.001162
1826,0.001210
1827,0.001173
1828,0.001204
1829,0.001170
1830,0.001181
1831,0.001408
1832,0.001187
1833,0.001181
1834,0.001172
1835,0.001204
1836,0.001191
1837,0.001188
1838,0.001181
1839,0.001251
1840,0.001175
1841,0.001134
1842,0.001238
1843,0.001300
1844,0.001203
1845,0.001322
1846,0.001406
1847,0.001179
1848,0.001202
1849,0.001205
1850,0.001177
1851,0.001174
1852,0.001175
1853,0.001313
1854,0.001267
1855,0.001190
1856,0.001185
1857,0.001434
1858,0.001149
1859,0.001153
1860,0.001150
1861,0.001223
1862,0.001344
1863,0.001157
1864,0.001156
1865,0.001157
1866,0.001277
1867,0.001159
1868,0.001440
1869,0.001160
1870,0.001641
1871,0.001162
1872,0.001396
1873,0.001193
